PARCELA_ID,PLODINA_AK,ANOTHER
"562370",Kukuřice na zrno,37.01
"562371",Kukuřice na zrno,14.94
"561878",Kukuřice na siláž,33.7
"564695",Kukuřice na siláž,36.38
"562303",Řepka ozimá,10.19
"561886",Ječmen jarní,35.7
"562381",Ječmen jarní,27.71
"562377",Dočasně nezpůsobilá plocha,0.54
"562378",Kukuřice na zrno,27.31
"562379",Kukuřice na zrno,82.71
"562382",Ječmen jarní,69.29
"605468",Řepka ozimá,45.87
"605483",Ječmen jarní,1.98
"562017",Pšenice setá ozimá,44.9
"564549",Pšenice setá ozimá,12.88
"561901",Řepka ozimá,26.13
"561902",Řepka ozimá,60.71
"606155",Ječmen jarní,55.04
"606161",Pšenice setá ozimá,10.06
"606167",Ječmen jarní,0.82
"606174",Ječmen jarní,3.65
"561950",Ječmen jarní,24.38
"561952",Ječmen jarní,12.94
"564665",Ječmen jarní,85.29
"564667",Řepka ozimá,20.08
"565100",Řepka ozimá,0
"565114",Řepka ozimá,51.37
"565099",Sója,0.42
"561972",Ječmen jarní,38.82
"562003",Ječmen jarní,48.62
"606096",Ječmen jarní,19.52
"606092",Ječmen jarní,81.57
"606094",Pšenice setá ozimá,50.96
"606095",Pšenice setá ozimá,48.07
"606467",Dočasně nezpůsobilá plocha,0.06
"562248",Řepka ozimá,26.24
"562320",Řepka ozimá,16.18
"562321",Řepka ozimá,43.96
"564341",Ječmen jarní,0.49
"606468",Kukuřice na siláž,107.73
"606469",Ječmen jarní,29.23
"606470",Pšenice setá ozimá,15.73
"606471",Ječmen jarní,42.67
"606472",Dočasně nezpůsobilá plocha,1.04
"606199",Pšenice setá ozimá,62.92
"606200",Pšenice setá ozimá,17.92
"561964",Kukuřice na zrno,25.87
"561965",Kukuřice na zrno,31.3
"561970",Řepka ozimá,36.29
"562238",Kukuřice na siláž,32.4
"564318",Pšenice setá ozimá,60.08
"561895",Kukuřice na zrno,34.47
"561898",Pšenice setá ozimá,24.73
"561881",Kukuřice na zrno,23.11
"561880",Kukuřice na zrno,22.13
"564547",Dočasně nezpůsobilá plocha,0.19
"606188",Ječmen jarní,100.5
"606195",Pšenice setá ozimá,25.84
"606196",Dočasný travní porost,1.35
"606466",Dočasně nezpůsobilá plocha,0.2
"561980",Pšenice setá ozimá,8.81
"557336",Kukuřice na zrno,63.65
"557337",Pšenice setá ozimá,12.67
"582104",Řepka ozimá,80.08
"582308",Ječmen ozimý dvouřadý,39.75
"582338",Ječmen ozimý dvouřadý,7.76
"582339",Řepka ozimá,2.01
"602327",Řepka ozimá,32.83
"602329",Ječmen jarní,0.85
"550392",Trvalý travní porost,4.67
"582394",Kukuřice na zrno,42.88
"582395",Pšenice setá ozimá,38.27
"559675",Ječmen jarní,66.09
"559674",Kukuřice na zrno,42.52
"585160",Ječmen jarní,64.29
"585180",Kukuřice na zrno,96.27
"585181",Kukuřice na zrno,46.04
"585182",Řepka ozimá,70.43
"550394",Trvalý travní porost,5.19
"550432",Řepka ozimá,68.51
"585578",Kukuřice na zrno,1.1
"585577",Kukuřice na zrno,0.24
"585579",Kukuřice na zrno,1.12
"585580",Kukuřice na zrno,0.89
"585581",Kukuřice na zrno,12.93
"586803",Pšenice setá ozimá,17.79
"549754",Ječmen jarní,11.63
"550401",Trvalý travní porost,2.26
"585571",Ječmen jarní,6.37
"585574",Kukuřice na zrno,8.72
"551871",Řepka ozimá,6.76
"585595",Ječmen jarní,20.25
"585596",Kukuřice na zrno,18.25
"549776",Pšenice setá ozimá,6.86
"550380",Dočasný travní porost,0.3
"585555",Ječmen jarní,14.37
"585557",Kukuřice na zrno,15.76
"548500",Pšenice setá ozimá,32.4
"548504",Pšenice setá ozimá,71.62
"550405",Trvalý travní porost,0.79
"582296",Pšenice setá ozimá,8.42
"582297",Ječmen ozimý dvouřadý,24.81
"548267",Ječmen jarní,79.46
"548269",Ječmen jarní,31.7
"557343",Ječmen jarní,78.46
"557344",Ječmen jarní,41.38
"551343",Ječmen jarní,24.08
"550409",Trvalý travní porost,3.77
"550388",Ječmen ozimý dvouřadý,28.78
"550357",Kukuřice na zrno,37.92
"550368",Kukuřice na zrno,91.31
"550431",Kukuřice na zrno,53.88
"550434",Kukuřice na zrno,22.75
"557339",Ječmen jarní,24.24
"562354",Pšenice setá ozimá,3.74
"606389",Dočasný travní porost,0.17
"562349",Řepka ozimá,7.48
"275412",Ječmen jarní,15.83
"561904",Pšenice setá ozimá,25.64
"562033",Ječmen jarní,12.77
"562323",Ječmen jarní,29.59
"562366",Ječmen jarní,6.9
"582304",Řepka ozimá,29.89
"562274",Ječmen jarní,3.71
"582373",Kukuřice na zrno,87.02
"562328",Ječmen jarní,2.31
"562260",Trávy s leguminozami,0.65
"561864",Pšenice setá ozimá,12.55
"275405",Ječmen jarní,27.23
"561963",Ječmen jarní,79.69
"562322",Ječmen jarní,0.6
"606132",Sója,21.64
"562350",Řepka ozimá,1.18
"561981",Pšenice setá ozimá,3
"562282",Pšenice setá ozimá,0.48
"588163",Kukuřice na zrno,0.46
"601259",Dočasný travní porost,0.82
"275113",Dočasný travní porost,0.35
"275426",Ječmen jarní,11.6
"561867",Kukuřice na zrno,19.6
"562263",Ječmen jarní,4.79
"547844",Ječmen jarní,20.18
"587857",Kukuřice na zrno,10.07
"286533",Řepka ozimá,67.59
"561929",Ječmen jarní,68.65
"562283",Pšenice setá ozimá,0.98
"275102",Trvalý travní porost,1.96
"606447",Dočasný travní porost,1.05
"562246",Ječmen jarní,10.72
"562285",Řepka ozimá,30.01
"600137",Pšenice setá ozimá,14.19
"562335",Ječmen jarní,0.2
"562011",Kukuřice na siláž,49.87
"562253",Ječmen jarní,0.5
"561979",Pšenice setá ozimá,2.61
"562024",Ječmen jarní,27.98
"588168",Kukuřice na zrno,0.32
"286540",Řepka ozimá,5.53
"561889",Ječmen jarní,23.01
"561860",Pšenice setá ozimá,25.43
"275404",Pšenice setá ozimá,22.9
"562357",Řepka ozimá,1.26
"562245",Ječmen jarní,16.36
"561471",Trvalý travní porost,4.74
"274584",Ječmen jarní,20.37
"561954",Řepka ozimá,21.67
"562344",Ječmen jarní,4.05
"562341",Ječmen jarní,0.44
"286534",Řepka ozimá,30.56
"306875",Pšenice setá ozimá,39.79
"562258",Řepka ozimá,22.53
